name,numpy
"overlap.map_overlap",""
"overlap.overlap",""
"overlap.trim_internal",""
"overlap.trim_overlap",""
"pad","numpy.pad"
"percentile","numpy.percentile"
"piecewise","numpy.piecewise"
"prod","numpy.prod"
"ptp","numpy.ptp"
"rad2deg","numpy.rad2deg"
"radians","numpy.radians"
"random.beta","numpy.random.mtrand.RandomState.beta"
"random.binomial","numpy.random.mtrand.RandomState.binomial"
"random.chisquare","numpy.random.mtrand.RandomState.chisquare"
"random.choice","numpy.random.mtrand.RandomState.choice"
"random.exponential","numpy.random.mtrand.RandomState.exponential"
"random.f","numpy.random.mtrand.RandomState.f"
"random.gamma","numpy.random.mtrand.RandomState.gamma"
"random.geometric","numpy.random.mtrand.RandomState.geometric"
"random.gumbel","numpy.random.mtrand.RandomState.gumbel"
"random.hypergeometric","numpy.random.mtrand.RandomState.hypergeometric"
"random.laplace","numpy.random.mtrand.RandomState.laplace"
"random.logistic","numpy.random.mtrand.RandomState.logistic"
"random.lognormal","numpy.random.mtrand.RandomState.lognormal"
"random.logseries","numpy.random.mtrand.RandomState.logseries"
"random.negative_binomial","numpy.random.mtrand.RandomState.negative_binomial"
"random.noncentral_chisquare","numpy.random.mtrand.RandomState.noncentral_chisquare"
"random.noncentral_f","numpy.random.mtrand.RandomState.noncentral_f"
"random.normal","numpy.random.mtrand.RandomState.normal"
"random.pareto","numpy.random.mtrand.RandomState.pareto"
"random.permutation","numpy.random.mtrand.RandomState.permutation"
"random.poisson","numpy.random.mtrand.RandomState.poisson"
"random.power","numpy.random.mtrand.RandomState.power"
"random.randint","numpy.random.mtrand.RandomState.randint"
"random.random","numpy.random.mtrand.RandomState.random"
"random.random_sample","numpy.random.mtrand.RandomState.random_sample"
"random.rayleigh","numpy.random.mtrand.RandomState.rayleigh"
"random.standard_cauchy","numpy.random.mtrand.RandomState.standard_cauchy"
"random.standard_exponential","numpy.random.mtrand.RandomState.standard_exponential"
"random.standard_gamma","numpy.random.mtrand.RandomState.standard_gamma"
"random.standard_normal","numpy.random.mtrand.RandomState.standard_normal"
"random.standard_t","numpy.random.mtrand.RandomState.standard_t"
"random.triangular","numpy.random.mtrand.RandomState.triangular"
"random.uniform","numpy.random.mtrand.RandomState.uniform"
"random.vonmises","numpy.random.mtrand.RandomState.vonmises"
"random.wald","numpy.random.mtrand.RandomState.wald"
"random.weibull","numpy.random.mtrand.RandomState.weibull"
"random.zipf","numpy.random.mtrand.RandomState.zipf"
"ravel","numpy.ravel"
"real","numpy.real"
"rechunk",""
"reduction",""
"repeat","numpy.repeat"
"reshape","numpy.reshape"
"result_type","numpy.result_type"
"rint","numpy.rint"
"roll","numpy.roll"
"rollaxis","numpy.rollaxis"
"round","numpy.around"
"sign","numpy.sign"
"signbit","numpy.signbit"
"sin","numpy.sin"
"sinh","numpy.sinh"
"sqrt","numpy.sqrt"
"square","numpy.square"
"squeeze","numpy.squeeze"
"stack","numpy.stack"
"stats.chisquare",""
"stats.f_oneway",""
"stats.kurtosis",""
"stats.kurtosistest",""
"stats.moment",""
"stats.normaltest",""
"stats.power_divergence",""
"stats.skew",""
"stats.skewtest",""
"stats.ttest_1samp",""
"stats.ttest_ind",""
"stats.ttest_rel",""
"std","numpy.std"
"store",""
"sum","numpy.sum"
"take","numpy.take"
"tan","numpy.tan"
"tanh","numpy.tanh"
"tensordot","numpy.tensordot"
"tile","numpy.tile"
"to_hdf5",""
"to_npy_stack",""
"to_tiledb",""
"to_zarr",""
"topk",""
"trace","numpy.trace"
"transpose","numpy.transpose"
"tril","numpy.tril"
"triu","numpy.triu"
"trunc","numpy.trunc"
"unify_chunks",""
"unique","numpy.unique"
"unravel_index","numpy.unravel_index"
"var","numpy.var"
"vdot","numpy.vdot"
"vstack","numpy.vstack"
"where","numpy.where"
"zeros","numpy.zeros"
"zeros_like","numpy.zeros_like"
