numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.hypot","hypot","hypot","hypot","hypot","",""
"numpy.imag","imag","imag","imag","imag","imag","math.imag"
"numpy.inner","inner","","inner","inner","dot",""
"numpy.iscomplex","iscomplex","iscomplex","iscomplex","","is_complex",""
"numpy.isfinite","isfinite","isfinite","isfinite","","isfinite","math.is_finite"
"numpy.isinf","isinf","isinf","isinf","","isinf",""
"numpy.isnan","isnan","isnan","isnan","","isnan","math.is_nan"
"numpy.isreal","isreal","isreal","isreal","","is_floating_point",""
"numpy.ldexp","ldexp","ldexp","ldexp","ldexp","",""
"numpy.less","less","","less","","lt","math.less"
"numpy.less_equal","less_equal","","less_equal","","le","math.less_equal"
"numpy.linalg.cholesky","linalg.cholesky","linalg.cholesky","cholesky","linalg.cholesky","cholesky","linalg.cholesky"
"numpy.linalg.det","linalg.det","","det","linalg.det","det","linalg.det"
"numpy.linalg.eig","","","eig","linalg.eig","eig","linalg.eigh"
"numpy.linalg.eigvalsh","linalg.eigvalsh","","eigvalsh","","symeig","linalg.eigvalsh"
"numpy.linalg.inv","linalg.inv","linalg.inv","inv","linalg.inv","inverse","linalg.inv"
"numpy.linalg.lstsq","linalg.lstsq","linalg.lstsq","","linalg.lstsq","lstsq","linalg.lstsq"
"numpy.linalg.matrix_power","linalg.matrix_power","","matrix_power","linalg.matrix_power","matrix_power",""
"numpy.linalg.matrix_rank","linalg.matrix_rank","","matrix_rank","linalg.matrix_rank","matrix_rank","rank"
"numpy.linalg.norm","linalg.norm","linalg.norm","norm","linalg.norm","norm","norm"
"numpy.linalg.pinv","linalg.pinv","","pinv","linalg.pinv","","linalg.pinv"
"numpy.linalg.qr","linalg.qr","linalg.qr","qr","linalg.qr","qr","linalg.qr"
"numpy.linalg.slogdet","linalg.slogdet","","slogdet","linalg.slogdet","slogdet","linalg.slogdet"
"numpy.linalg.solve","linalg.solve","linalg.solve","solve","linalg.solve","solve","linalg.solve"
"numpy.linalg.svd","linalg.svd","linalg.svd","svd","linalg.svd","svd","linalg.svd"
"numpy.linspace","linspace","linspace","linspace","linspace","linspace","linspace"
"numpy.log","log","log","log","log","log","math.log"
"numpy.log10","log10","log10","log10","log10","log10",""
"numpy.log1p","log1p","log1p","log1p","log1p","log1p","math.log1p"
"numpy.log2","log2","log2","log2","log2","log2",""
"numpy.logaddexp","logaddexp","logaddexp","logaddexp","logaddexp","logsumexp","math.reduce_logsumexp"
"numpy.logaddexp2","logaddexp2","logaddexp2","logaddexp2","logaddexp2","",""
"numpy.logical_and","logical_and","logical_and","logical_and","","logical_and","math.logical_and"
"numpy.logical_not","logical_not","logical_not","logical_not","","logical_not","math.logical_not"
"numpy.logical_or","logical_or","logical_or","logical_or","","logical_or","math.logical_or"
"numpy.logical_xor","logical_xor","logical_xor","logical_xor","","logical_xor","math.logical_xor"
"numpy.logspace","logspace","","logspace","logspace","logspace",""
"numpy.matmul","matmul","matmul","matmul","matmul","mm","linalg.matmul"
"numpy.maximum","maximum","maximum","maximum","maximum","max","math.maximum"
"numpy.mean","mean","mean","mean","mean","mean","math.reduce_mean"
"numpy.median","","median","median","median","median",""
"numpy.meshgrid","meshgrid","meshgrid","meshgrid","meshgrid","meshgrid","meshgrid"
"numpy.minimum","minimum","minimum","minimum","minimum","min","math.minimum"
"numpy.mod","mod","","mod","mod","","math.floormod"
"numpy.moveaxis","moveaxis","moveaxis","moveaxis","moveaxis","",""
"numpy.multiply","multiply","","multiply","multiply","mul","math.multiply"
"numpy.nan_to_num","nan_to_num","nan_to_num","nan_to_num","nan_to_num","",""
"numpy.nanmax","nanmax","nanmax","nanmax","nanmax","",""
"numpy.nanmin","nanmin","nanmin","nanmin","nanmin","",""
"numpy.nanprod","nanprod","nanprod","nanprod","nanprod","",""
"numpy.nansum","nansum","nansum","nansum","nansum","",""
"numpy.negative","negative","","negative","negative","neg","math.negative"
"numpy.nextafter","nextafter","nextafter","nextafter","nextafter","","math.nextafter"
"numpy.nonzero","nonzero","nonzero","nonzero","nonzero","nonzero",""
"numpy.not_equal","not_equal","","not_equal","","ne","math.not_equal"
"numpy.ones","ones","ones","ones","ones","ones","ones"
"numpy.ones_like","ones_like","ones_like","ones_like","ones_like","ones_like","ones_like"
"numpy.outer","outer","outer","outer","outer","ger",""
"numpy.pad","pad","pad","pad","","","pad"
"numpy.percentile","percentile","percentile","percentile","percentile","",""
"numpy.power","power","","power","power","pow","math.pow"
"numpy.prod","prod","prod","product","prod","prod","math.reduce_prod"
"numpy.rad2deg","rad2deg","rad2deg","rad2deg","rad2deg","",""
"numpy.radians","radians","radians","radians","radians","",""
"numpy.ravel","ravel","ravel","ravel","ravel","",""
"numpy.real","real","real","real","real","real","math.real"
"numpy.reciprocal","reciprocal","","reciprocal","reciprocal","","math.reciprocal"
"numpy.remainder","remainder","","remainder","remainder","remainder",""
"numpy.repeat","repeat","repeat","repeat","repeat","","repeat"
"numpy.reshape","reshape","reshape","reshape","reshape","reshape","reshape"
"numpy.result_type","result_type","result_type","result_type","","result_type",""
"numpy.rint","rint","rint","rint","rint","round","math.rint"
"numpy.roll","roll","roll","roll","roll","roll","roll"
"numpy.rollaxis","rollaxis","rollaxis","rollaxis","rollaxis","",""
"numpy.rot90","rot90","","rot90","rot90","rot90",""
"numpy.round_","round_","","round","round_","","math.round"
"numpy.sign","sign","sign","sign","sign","sign","math.sign"
"numpy.signbit","signbit","signbit","signbit","signbit","",""
"numpy.sin","sin","sin","sin","sin","sin","math.sin"
"numpy.sinh","sinh","sinh","sinh","sinh","sinh","math.sinh"
"numpy.sort","sort","","sort","sort","sort","sort"
"numpy.split","split","","split","split","split","split"
"numpy.sqrt","sqrt","sqrt","sqrt","sqrt","sqrt","math.sqrt"
"numpy.square","square","square","square","square","square","math.square"
"numpy.squeeze","squeeze","squeeze","squeeze","squeeze","squeeze","squeeze"
"numpy.stack","stack","stack","stack","stack","stack","stack"
"numpy.std","std","std","std","std","std","math.reduce_std"
"numpy.subtract","subtract","","subtract","subtract","","math.subtract"
"numpy.sum","sum","sum","sum","sum","sum","math.reduce_sum"
"numpy.take","take","take","take","","take",""
"numpy.tan","tan","tan","tan","tan","tan","math.tan"
"numpy.tanh","tanh","tanh","tanh","tanh","tanh","math.tanh"
"numpy.tensordot","tensordot","tensordot","tensordot","tensordot","tensordot","tensordot"
"numpy.tile","tile","tile","tile","tile","","tile"
"numpy.trace","trace","trace","trace","trace","trace","linalg.trace"
"numpy.transpose","transpose","transpose","transpose","transpose","transpose","transpose"
"numpy.tril","tril","tril","tril","tril","tril",""
"numpy.triu","triu","triu","triu","triu","triu",""
"numpy.true_divide","true_divide","","true_divide","true_divide","true_divide","math.truediv"
"numpy.trunc","trunc","trunc","trunc","trunc","trunc","truncatediv"
"numpy.unique","unique","unique","","unique","unique","unique"
"numpy.var","var","var","var","var","var","math.reduce_variance"
"numpy.vdot","vdot","vdot","vdot","vdot","",""
"numpy.vstack","vstack","vstack","vstack","vstack","",""
"numpy.where","where","where","where","where","where","where"
"numpy.zeros","zeros","zeros","zeros","zeros","zeros","zeros"
"numpy.zeros_like","zeros_like","zeros_like","zeros_like","zeros_like","zeros_like","zeros_like"
