numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray.nonzero","nonzero","nonzero","nonzero","","nonzero",""
"numpy.ndarray.prod","prod","prod","prod","prod","prod",""
"numpy.ndarray.repeat","repeat","repeat","repeat","repeat","",""
"numpy.ndarray.reshape","reshape","reshape","reshape","reshape","reshape","set_shape"
"numpy.ndarray.round","round","round","round","round","round_",""
"numpy.ndarray.shape","shape","shape","shape","shape","shape","shape"
"numpy.ndarray.size","size","size","size","size","",""
"numpy.ndarray.sort","sort","","sort","sort","sort",""
"numpy.ndarray.squeeze","squeeze","squeeze","squeeze","squeeze","squeeze_",""
"numpy.ndarray.std","std","std","std","","std",""
"numpy.ndarray.sum","sum","sum","sum","sum","sum",""
"numpy.ndarray.swapaxes","swapaxes","swapaxes","swapaxes","swapaxes","",""
"numpy.ndarray.take","take","","take","take","take",""
"numpy.ndarray.trace","trace","trace","trace","","trace",""
"numpy.ndarray.transpose","transpose","transpose","transpose","transpose","transpose",""
"numpy.ndarray.var","var","var","var","","var",""
"numpy.ndarray.view","view","view","view","","view",""
