numpy,cupy,dask.array,jax,mxnet,pytorch,tensorflow
"numpy.ndarray.ptp","ptp","","ptp","","",""
"numpy.ndarray.put","put","","put","","put_",""
"numpy.ndarray.ravel","ravel","ravel","ravel","","",""
"numpy.ndarray.real","real","","real","","real",""
"numpy.ndarray.repeat","repeat","repeat","repeat","repeat","",""
"numpy.ndarray.reshape","reshape","reshape","reshape","reshape","reshape",""
"numpy.ndarray.resize","","","","","resize_",""
"numpy.ndarray.round","round","round","round","round","round_",""
"numpy.ndarray.searchsorted","","","searchsorted","","",""
"numpy.ndarray.setflags","","","","","",""
"numpy.ndarray.shape","shape","shape","shape","shape","shape",""
"numpy.ndarray.size","size","size","size","size","",""
"numpy.ndarray.sort","sort","","sort","sort","sort",""
"numpy.ndarray.squeeze","squeeze","squeeze","squeeze","squeeze","squeeze_",""
"numpy.ndarray.std","std","std","std","","std",""
"numpy.ndarray.strides","strides","","","","",""
"numpy.ndarray.sum","sum","sum","sum","sum","sum",""
"numpy.ndarray.swapaxes","swapaxes","swapaxes","swapaxes","swapaxes","",""
"numpy.ndarray.take","take","","take","take","take",""
"numpy.ndarray.tobytes","tobytes","","tobytes","","",""
"numpy.ndarray.tofile","tofile","","","","",""
"numpy.ndarray.tolist","tolist","","tolist","","tolist",""
"numpy.ndarray.tostring","","","","","",""
"numpy.ndarray.trace","trace","trace","trace","","trace",""
"numpy.ndarray.transpose","transpose","transpose","transpose","transpose","transpose",""
"numpy.ndarray.var","var","var","var","","var",""
"numpy.ndarray.view","view","view","view","","view",""
