name,numpy
"rint","numpy.rint"
"roll","numpy.roll"
"rollaxis","numpy.rollaxis"
"roots","numpy.roots"
"rot90","numpy.rot90"
"round","numpy.round_"
"row_stack","numpy.vstack"
"select","numpy.select"
"sign","numpy.sign"
"signbit","numpy.signbit"
"sin","numpy.sin"
"sinc","numpy.sinc"
"sinh","numpy.sinh"
"slogdet","numpy.linalg.slogdet"
"solve","numpy.linalg.solve"
"sometrue","numpy.any"
"sort","numpy.sort"
"split","numpy.split"
"sqrt","numpy.sqrt"
"square","numpy.square"
"squeeze","numpy.squeeze"
"stack","numpy.stack"
"std","numpy.std"
"subtract","numpy.subtract"
"sum","numpy.sum"
"svd","numpy.linalg.svd"
"swapaxes","numpy.swapaxes"
"take","numpy.take"
"take_along_axis","numpy.take_along_axis"
"tan","numpy.tan"
"tanh","numpy.tanh"
"tensordot","numpy.tensordot"
"tensorinv","numpy.linalg.tensorinv"
"tensorsolve","numpy.linalg.tensorsolve"
"tile","numpy.tile"
"trace","numpy.trace"
"transpose","numpy.transpose"
"tri","numpy.tri"
"tril","numpy.tril"
"tril_indices","numpy.tril_indices"
"triu","numpy.triu"
"triu_indices","numpy.triu_indices"
"true_divide","numpy.true_divide"
"trunc","numpy.trunc"
"unpackbits","numpy.unpackbits"
"vander","numpy.vander"
"var","numpy.var"
"vdot","numpy.vdot"
"vsplit","numpy.vsplit"
"vstack","numpy.vstack"
"where","numpy.where"
"zeros","numpy.zeros"
"zeros_like","numpy.zeros_like"
