numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.fft.ifftshift","168","-","-","109","-"
"numpy.nan_to_num","164","-","-","118","-"
"numpy.linalg.matrix_rank","172","-","-","114","-"
"numpy.diagonal","21","-","-","-","-"
"numpy.fft.fft2","37","-","-","-","-"
"numpy.fft.ifft","38","-","-","-","-"
"numpy.fft.fftn","43","-","-","-","-"
"numpy.fft.irfft","44","-","-","-","-"
"numpy.fft.rfft2","46","-","-","-","-"
"numpy.fft.rfftn","47","-","-","-","-"
"numpy.bitwise_and","56","-","-","-","-"
"numpy.equal","60","-","-","-","-"
"numpy.greater_equal","61","-","-","-","-"
"numpy.less_equal","63","-","-","-","-"
"numpy.rot90","-","-","-","72","-"
"numpy.cross","-","-","-","85","-"
"numpy.linalg.eig","-","-","-","89","-"
"numpy.not_equal","91","-","-","-","-"
"numpy.flipud","-","92","-","-","-"
"numpy.linalg.eigvalsh","-","-","-","95","-"
"numpy.linalg.solve","-","-","-","96","-"
"numpy.divide","-","-","-","106","-"
"numpy.fft.ifft2","114","-","-","-","-"
"numpy.fft.ifftn","115","-","-","-","-"
"numpy.linalg.pinv","-","-","-","115","-"
"numpy.fft.irfft2","116","-","-","-","-"
"numpy.fft.irfftn","117","-","-","-","-"
"numpy.linalg.qr","121","-","-","-","-"
"numpy.matmul","123","-","-","-","-"
"numpy.triu","125","-","-","-","-"
"numpy.negative","134","-","-","-","-"
"numpy.linalg.lstsq","151","-","-","-","-"
"numpy.vdot","176","-","-","-","-"
"numpy.conj","-","-","-","-","-"
"numpy.linalg.cholesky","-","-","-","-","-"
"numpy.linalg.matrix_power","-","-","-","-","-"
"numpy.linalg.slogdet","-","-","-","-","-"
"numpy.trace","-","-","-","-","-"
