numpy,dask.array,matplotlib,pandas,skimage,xarray
"numpy.fft.ifftshift","172","-","-","111","-"
"numpy.nan_to_num","167","-","-","120","-"
"numpy.linalg.matrix_rank","176","-","-","116","-"
"numpy.diagonal","23","-","-","-","-"
"numpy.fft.fft2","40","-","-","-","-"
"numpy.fft.ifft","41","-","-","-","-"
"numpy.fft.fftn","46","-","-","-","-"
"numpy.fft.irfft","47","-","-","-","-"
"numpy.fft.rfft2","49","-","-","-","-"
"numpy.fft.rfftn","50","-","-","-","-"
"numpy.bitwise_and","60","-","-","-","-"
"numpy.equal","65","-","-","-","-"
"numpy.greater_equal","66","-","-","-","-"
"numpy.less_equal","68","-","-","-","-"
"numpy.rot90","-","-","-","75","-"
"numpy.cross","-","-","-","88","-"
"numpy.linalg.eig","-","-","-","92","-"
"numpy.not_equal","95","-","-","-","-"
"numpy.flipud","-","97","-","-","-"
"numpy.linalg.eigvalsh","-","-","-","99","-"
"numpy.linalg.solve","-","-","-","100","-"
"numpy.linalg.pinv","-","-","-","117","-"
"numpy.fft.ifft2","118","-","-","-","-"
"numpy.fft.ifftn","119","-","-","-","-"
"numpy.fft.irfft2","120","-","-","-","-"
"numpy.fft.irfftn","121","-","-","-","-"
"numpy.linalg.qr","124","-","-","-","-"
"numpy.matmul","126","-","-","-","-"
"numpy.triu","130","-","-","-","-"
"numpy.negative","139","-","-","-","-"
"numpy.linalg.lstsq","155","-","-","-","-"
"numpy.trace","178","-","-","-","-"
"numpy.vdot","179","-","-","-","-"
"numpy.divide","-","-","-","-","-"
"numpy.linalg.cholesky","-","-","-","-","-"
"numpy.linalg.matrix_power","-","-","-","-","-"
"numpy.linalg.slogdet","-","-","-","-","-"
"numpy.mod","-","-","-","-","-"
