method,function
"numpy.ndarray.swapaxes","numpy.swapaxes"
"numpy.ndarray.T","numpy.transpose"
"numpy.ndarray.take","numpy.take"
"numpy.ndarray.tobytes",""
"numpy.ndarray.tofile","numpy.save"
"numpy.ndarray.tolist",""
"numpy.ndarray.tostring","numpy.array2string"
"numpy.ndarray.trace","numpy.trace"
"numpy.ndarray.transpose","numpy.transpose"
"numpy.ndarray.var","numpy.var"
"numpy.ndarray.view",""
