name,category,subcategory
"numpy.floor_divide","math","rounding"
"numpy.fmax","math","special"
"numpy.fmin","math","special"
"numpy.fmod","math","special"
"numpy.format_float_positional","",""
"numpy.format_float_scientific","",""
"numpy.frexp","math","special"
"numpy.frombuffer","creation",""
"numpy.fromfile","io",""
"numpy.fromfunction","creation",""
"numpy.fromiter","creation",""
"numpy.frompyfunc","creation",""
"numpy.fromregex","creation",""
"numpy.fromstring","creation",""
"numpy.full","creation",""
"numpy.full_like","creation",""
"numpy.fv","finance",""
"numpy.gcd","math","special"
"numpy.genfromtxt","",""
"numpy.geomspace","creation","range"
"numpy.get_printoptions","",""
"numpy.getbufsize","",""
"numpy.geterr","",""
"numpy.geterrcall","",""
"numpy.geterrobj","",""
"numpy.gradient","linalg",""
"numpy.greater","logical",""
"numpy.greater_equal","logical",""
"numpy.hamming","signal_processing",""
"numpy.hanning","signal_processing",""
"numpy.heaviside","math","special"
"numpy.histogram","statistics",""
"numpy.histogram2d","statistics",""
"numpy.histogram_bin_edges","statistics",""
"numpy.histogramdd","statistics",""
"numpy.hsplit","creation","existing_data"
"numpy.hstack","manipulation","joining_arrays"
"numpy.hypot","math","trig"
"numpy.i0","math","special"
"numpy.identity","creation",""
"numpy.imag","math","complex"
"numpy.in1d","",""
"numpy.indices","",""
"numpy.info","",""
"numpy.inner","linalg",""
"numpy.insert","manipulation",""
"numpy.interp","manipulation",""
"numpy.intersect1d","sets",""
"numpy.invert","binary_ops",""
"numpy.ipmt","finance",""
"numpy.irr","finance",""
"numpy.is_busday","datetime",""
"numpy.isclose","logical",""
"numpy.iscomplex","logical",""
"numpy.iscomplexobj","logical",""
"numpy.isfinite","logical",""
"numpy.isfortran","logical",""
"numpy.isin","logical",""
"numpy.isinf","logical",""
"numpy.isnan","logical",""
"numpy.isnat","logical",""
"numpy.isneginf","logical",""
"numpy.isposinf","logical",""
"numpy.isreal","logical",""
"numpy.isrealobj","logical",""
"numpy.isscalar","logical",""
"numpy.issctype","logical",""
"numpy.issubclass_","logical",""
"numpy.issubdtype","logical",""
"numpy.issubsctype","logical",""
"numpy.ix_","",""
"numpy.kaiser","signal_processing",""
"numpy.kron","math","special"
"numpy.lcm","math","special"
"numpy.ldexp","math","special"
"numpy.left_shift","binary_ops",""
"numpy.less","logical",""
"numpy.less_equal","logical",""
"numpy.lexsort","sorting",""
"numpy.linalg.cholesky","linalg",""
"numpy.linalg.cond","linalg",""
"numpy.linalg.det","linalg",""
"numpy.linalg.eig","linalg",""
"numpy.linalg.eigh","linalg",""
"numpy.linalg.eigvals","linalg",""
"numpy.linalg.eigvalsh","linalg",""
"numpy.linalg.inv","linalg",""
"numpy.linalg.lstsq","linalg",""
"numpy.linalg.matrix_power","linalg",""
"numpy.linalg.matrix_rank","linalg",""
"numpy.linalg.multi_dot","linalg",""
"numpy.linalg.norm","linalg",""
"numpy.linalg.pinv","linalg",""
"numpy.linalg.qr","linalg",""
"numpy.linalg.slogdet","linalg",""
"numpy.linalg.solve","linalg",""
"numpy.linalg.svd","linalg",""
"numpy.linalg.tensorinv","linalg",""
"numpy.linalg.tensorsolve","linalg",""
"numpy.linspace","creation","range"
"numpy.load","io",""
"numpy.loadtxt","io",""
"numpy.log","math","special"
"numpy.log10","math","special"
"numpy.log1p","math","special"
"numpy.log2","math","special"
"numpy.logaddexp","math","special"
"numpy.logaddexp2","math","special"
"numpy.logical_and","logical",""
"numpy.logical_not","logical",""
"numpy.logical_or","logical",""
"numpy.logical_xor","logical",""
"numpy.logspace","creation","range"
"numpy.lookfor","",""
"numpy.ma.all","logical",""
"numpy.ma.allclose","logical",""
"numpy.ma.allequal","logical",""
"numpy.ma.anom","",""
"numpy.ma.anomalies","",""
"numpy.ma.any","logical",""
"numpy.ma.append","manipulation",""
"numpy.ma.apply_along_axis","utilities",""
"numpy.ma.arange","creation","range"
"numpy.ma.argmax","statistics",""
"numpy.ma.argmin","statistics",""
"numpy.ma.argsort","sorting",""
"numpy.ma.around","math","rounding"
"numpy.ma.array","creation","existing_data"
"numpy.ma.asanyarray","creation","existing_data"
"numpy.ma.asarray","creation","existing_data"
"numpy.ma.atleast_1d","manipulation","changing_shape"
"numpy.ma.atleast_2d","manipulation","changing_shape"
"numpy.ma.atleast_3d","manipulation","changing_shape"
"numpy.ma.average","statistics",""
"numpy.ma.choose","creation","existing_data"
"numpy.ma.clip","math","rounding"
"numpy.ma.clump_masked","",""
"numpy.ma.clump_unmasked","",""
"numpy.ma.column_stack","manipulation","joining_arrays"
"numpy.ma.common_fill_value","",""
"numpy.ma.compress_cols","",""
"numpy.ma.compress_rowcols","",""
"numpy.ma.compress_rows","",""
"numpy.ma.compressed","",""
"numpy.ma.concatenate","manipulation","joining_arrays"
"numpy.ma.conjugate","math","complex"
"numpy.ma.copy","creation","existing_data"
"numpy.ma.corrcoef","statistics",""
"numpy.ma.count","counting",""
"numpy.ma.count_masked","counting",""
"numpy.ma.cov","statistics",""
"numpy.ma.cumprod","math","arithmetic"
"numpy.ma.cumsum","math","arithmetic"
"numpy.ma.default_fill_value","",""
"numpy.ma.diag","indexing",""
"numpy.ma.dot","linalg",""
"numpy.ma.dstack","manipulation","joining_arrays"
"numpy.ma.dump","",""
"numpy.ma.dumps","",""
"numpy.ma.ediff1d","math","arithmetic"
"numpy.ma.empty","creation",""
"numpy.ma.empty_like","creation",""
"numpy.ma.expand_dims","manipulation","changing_shape"
"numpy.ma.filled","",""
"numpy.ma.fix_invalid","",""
"numpy.ma.flatnotmasked_contiguous","",""
"numpy.ma.flatnotmasked_edges","",""
"numpy.ma.frombuffer","creation",""
"numpy.ma.fromfunction","creation",""
"numpy.ma.getdata","",""
"numpy.ma.getmask","",""
"numpy.ma.getmaskarray","",""
"numpy.ma.harden_mask","",""
"numpy.ma.hsplit","creation","existing_data"
"numpy.ma.hstack","manipulation","joining_arrays"
"numpy.ma.identity","creation",""
"numpy.ma.indices","",""
"numpy.ma.inner","linalg",""
"numpy.ma.innerproduct","linalg",""
"numpy.ma.is_mask","",""
"numpy.ma.is_masked","",""
"numpy.ma.load","io",""
"numpy.ma.loads","",""
"numpy.ma.make_mask","",""
"numpy.ma.make_mask_descr","",""
"numpy.ma.make_mask_none","",""
"numpy.ma.mask_cols","",""
"numpy.ma.mask_or","",""
"numpy.ma.mask_rowcols","",""
"numpy.ma.mask_rows","",""
"numpy.ma.masked_all","logical",""
"numpy.ma.masked_all_like","logical",""
"numpy.ma.masked_equal","logical",""
"numpy.ma.masked_greater","logical",""
"numpy.ma.masked_greater_equal","logical",""
"numpy.ma.masked_inside","logical",""
"numpy.ma.masked_invalid","logical",""
"numpy.ma.masked_less","logical",""
"numpy.ma.masked_less_equal","logical",""
"numpy.ma.masked_not_equal","logical",""
"numpy.ma.masked_object","",""
"numpy.ma.masked_outside","logical",""
"numpy.ma.masked_values","",""
"numpy.ma.masked_where","indexing",""
"numpy.ma.max","statistics",""
"numpy.ma.maximum_fill_value","",""
"numpy.ma.mean","statistics",""
"numpy.ma.median","statistics",""
"numpy.ma.min","statistics",""
"numpy.ma.nonzero","indexing",""
"numpy.ma.notmasked_contiguous","",""
"numpy.ma.notmasked_edges","",""
"numpy.ma.ones","creation",""
"numpy.ma.outer","linalg",""
"numpy.ma.outerproduct","linalg",""
"numpy.ma.polyfit","polynomials",""
"numpy.ma.power","math","special"
"numpy.ma.prod","math","arithmetic"
"numpy.ma.ptp","signal_processing",""
"numpy.ma.ravel","manipulation","changing_shape"
"numpy.ma.reshape","manipulation","changing_shape"
"numpy.ma.resize","manipulation","changing_shape"
"numpy.ma.round","math","rounding"
"numpy.ma.row_stack","manipulation","joining_arrays"
"numpy.ma.set_fill_value","",""
"numpy.ma.shape","",""
"numpy.ma.size","",""
"numpy.ma.soften_mask","",""
"numpy.ma.sort","sorting",""
"numpy.ma.squeeze","manipulation","changing_shape"
"numpy.ma.stack","manipulation","joining_arrays"
"numpy.ma.std","statistics",""
"numpy.ma.sum","statistics",""
"numpy.ma.swapaxes","manipulation","moving_axes"
"numpy.ma.trace","linalg",""
"numpy.ma.transpose","linalg",""
