name,numpy
"cupy.isreal","numpy.isreal"
"cupy.isrealobj","numpy.isrealobj"
"cupy.isscalar","numpy.isscalar"
"cupy.ix_","numpy.ix_"
"cupy.kaiser","numpy.kaiser"
"cupy.kron","numpy.kron"
"cupy.lcm","numpy.lcm"
"cupy.ldexp","numpy.ldexp"
"cupy.left_shift","numpy.left_shift"
"cupy.less","numpy.less"
"cupy.less_equal","numpy.less_equal"
"cupy.lexsort","numpy.lexsort"
"cupy.lib.stride_tricks.as_strided",""
"cupy.linalg.cholesky","numpy.linalg.cholesky"
"cupy.linalg.det","numpy.linalg.det"
"cupy.linalg.eigh","numpy.linalg.eigh"
"cupy.linalg.eigvalsh","numpy.linalg.eigvalsh"
"cupy.linalg.inv","numpy.linalg.inv"
"cupy.linalg.lstsq","numpy.linalg.lstsq"
"cupy.linalg.matrix_power","numpy.linalg.matrix_power"
"cupy.linalg.matrix_rank","numpy.linalg.matrix_rank"
"cupy.linalg.norm","numpy.linalg.norm"
"cupy.linalg.pinv","numpy.linalg.pinv"
"cupy.linalg.qr","numpy.linalg.qr"
"cupy.linalg.slogdet","numpy.linalg.slogdet"
"cupy.linalg.solve","numpy.linalg.solve"
"cupy.linalg.svd","numpy.linalg.svd"
"cupy.linalg.tensorinv","numpy.linalg.tensorinv"
"cupy.linalg.tensorsolve","numpy.linalg.tensorsolve"
"cupy.linspace","numpy.linspace"
"cupy.load","numpy.load"
"cupy.log","numpy.log"
"cupy.log10","numpy.log10"
"cupy.log1p","numpy.log1p"
"cupy.log2","numpy.log2"
"cupy.logaddexp","numpy.logaddexp"
"cupy.logaddexp2","numpy.logaddexp2"
"cupy.logical_and","numpy.logical_and"
"cupy.logical_not","numpy.logical_not"
"cupy.logical_or","numpy.logical_or"
"cupy.logical_xor","numpy.logical_xor"
"cupy.logspace","numpy.logspace"
"cupy.maximum","numpy.maximum"
"cupy.mean","numpy.mean"
"cupy.median","numpy.median"
"cupy.memoize",""
"cupy.meshgrid","numpy.meshgrid"
"cupy.minimum","numpy.minimum"
"cupy.mod","numpy.mod"
"cupy.modf","numpy.modf"
"cupy.moveaxis","numpy.moveaxis"
"cupy.msort","numpy.msort"
"cupy.multiply","numpy.multiply"
"cupy.nan_to_num","numpy.nan_to_num"
"cupy.nanargmax","numpy.nanargmax"
"cupy.nanargmin","numpy.nanargmin"
"cupy.nancumprod","numpy.nancumprod"
"cupy.nancumsum","numpy.nancumsum"
"cupy.nanmax","numpy.nanmax"
"cupy.nanmean","numpy.nanmean"
"cupy.nanmedian","numpy.nanmedian"
"cupy.nanmin","numpy.nanmin"
"cupy.nanprod","numpy.nanprod"
"cupy.nanstd","numpy.nanstd"
"cupy.nansum","numpy.nansum"
"cupy.nanvar","numpy.nanvar"
"cupy.negative","numpy.negative"
"cupy.nextafter","numpy.nextafter"
"cupy.nonzero","numpy.nonzero"
"cupy.not_equal","numpy.not_equal"
"cupy.ones","numpy.ones"
"cupy.ones_like","numpy.ones_like"
"cupy.outer","numpy.outer"
"cupy.packbits","numpy.packbits"
"cupy.pad","numpy.pad"
"cupy.partition","numpy.partition"
"cupy.percentile","numpy.percentile"
"cupy.piecewise","numpy.piecewise"
"cupy.place","numpy.place"
"cupy.polyadd","numpy.polyadd"
"cupy.polyfit","numpy.polyfit"
"cupy.polymul","numpy.polymul"
"cupy.polynomial.polynomial.polycompanion","numpy.polynomial.polynomial.polycompanion"
"cupy.polynomial.polynomial.polyvander","numpy.polynomial.polynomial.polyvander"
"cupy.polynomial.polyutils.as_series","numpy.polynomial.polyutils.as_series"
"cupy.polynomial.polyutils.trimcoef","numpy.polynomial.polyutils.trimcoef"
"cupy.polynomial.polyutils.trimseq","numpy.polynomial.polyutils.trimseq"
"cupy.polysub","numpy.polysub"
"cupy.polyval","numpy.polyval"
"cupy.power","numpy.power"
"cupy.prod","numpy.prod"
"cupy.prof.time_range",""
"cupy.ptp","numpy.ptp"
"cupy.put","numpy.put"
"cupy.putmask","numpy.putmask"
"cupy.quantile","numpy.quantile"
"cupy.rad2deg","numpy.rad2deg"
"cupy.radians","numpy.radians"
"cupy.random.beta","numpy.random.beta"
"cupy.random.binomial","numpy.random.binomial"
"cupy.random.bytes","numpy.random.bytes"
"cupy.random.chisquare","numpy.random.chisquare"
"cupy.random.choice","numpy.random.choice"
"cupy.random.default_rng","numpy.random.default_rng"
"cupy.random.dirichlet","numpy.random.dirichlet"
"cupy.random.exponential","numpy.random.exponential"
"cupy.random.f","numpy.random.f"
"cupy.random.gamma","numpy.random.gamma"
"cupy.random.geometric","numpy.random.geometric"
"cupy.random.get_random_state","numpy.random.get_state"
"cupy.random.gumbel","numpy.random.gumbel"
"cupy.random.hypergeometric","numpy.random.hypergeometric"
