name,numpy
"matrix_power","numpy.linalg.matrix_power"
"matrix_rank","numpy.linalg.matrix_rank"
"max","numpy.amax"
"maximum","numpy.maximum"
"mean","numpy.mean"
"median","numpy.median"
"meshgrid","numpy.meshgrid"
"mgrid","numpy.mgrid"
"min","numpy.amin"
"minimum","numpy.minimum"
"mod","numpy.mod"
"modf","numpy.modf"
"moveaxis","numpy.moveaxis"
"msort","numpy.msort"
"multi_dot","numpy.linalg.multi_dot"
"multiply","numpy.multiply"
"nan_to_num","numpy.nan_to_num"
"nanargmax","numpy.nanargmax"
"nanargmin","numpy.nanargmin"
"nancumprod","numpy.nancumprod"
"nancumsum","numpy.nancumsum"
"nanmax","numpy.nanmax"
"nanmean","numpy.nanmean"
"nanmedian","numpy.nanmedian"
"nanmin","numpy.nanmin"
"nanpercentile","numpy.nanpercentile"
"nanprod","numpy.nanprod"
"nanquantile","numpy.nanquantile"
"nanstd","numpy.nanstd"
"nansum","numpy.nansum"
"nanvar","numpy.nanvar"
"ndarray",""
"ndim",""
"negative","numpy.negative"
"nextafter","numpy.nextafter"
"nonzero","numpy.nonzero"
"norm","numpy.linalg.norm"
"not_equal","numpy.not_equal"
"number",""
"object_",""
"ogrid","numpy.ogrid"
"ones","numpy.ones"
"ones_like","numpy.ones_like"
"outer","numpy.outer"
"packbits","numpy.packbits"
"pad","numpy.pad"
"percentile","numpy.percentile"
"piecewise","numpy.piecewise"
"pinv","numpy.linalg.pinv"
"polyadd","numpy.polyadd"
"polyder","numpy.polyder"
"polyint","numpy.polyint"
"polymul","numpy.polymul"
"polysub","numpy.polysub"
"polyval","numpy.polyval"
"positive","numpy.positive"
"power","numpy.power"
"prod","numpy.prod"
"product","numpy.prod"
"promote_types","numpy.promote_types"
"ptp","numpy.ptp"
"qr","numpy.linalg.qr"
"quantile","numpy.quantile"
"r_",""
"rad2deg","numpy.rad2deg"
"radians","numpy.radians"
"ravel","numpy.ravel"
"ravel_multi_index","numpy.ravel_multi_index"
"real","numpy.real"
"reciprocal","numpy.reciprocal"
"remainder","numpy.remainder"
"repeat","numpy.repeat"
"reshape","numpy.reshape"
"result_type","numpy.result_type"
"rfft","numpy.fft.rfft"
"rfft2","numpy.fft.rfft2"
"rfftfreq","numpy.fft.rfftfreq"
"rfftn","numpy.fft.rfftn"
"right_shift","numpy.right_shift"
"rint","numpy.rint"
"roll","numpy.roll"
"rollaxis","numpy.rollaxis"
"roots","numpy.roots"
"rot90","numpy.rot90"
"round","numpy.round_"
"row_stack","numpy.row_stack"
"save","numpy.save"
"savez","numpy.savez"
"searchsorted","numpy.searchsorted"
"select","numpy.select"
"set_printoptions","numpy.set_printoptions"
"setdiff1d","numpy.setdiff1d"
"setxor1d","numpy.setxor1d"
"shape","numpy.shape"
"sign","numpy.sign"
"signbit","numpy.signbit"
"signedinteger",""
"sin","numpy.sin"
"sinc","numpy.sinc"
"single",""
"sinh","numpy.sinh"
"size",""
"slogdet","numpy.linalg.slogdet"
"solve","numpy.linalg.solve"
"sometrue","numpy.any"
"sort","numpy.sort"
"sort_complex","numpy.sort_complex"
"split","numpy.split"
"sqrt","numpy.sqrt"
"square","numpy.square"
"squeeze","numpy.squeeze"
"stack","numpy.stack"
"std","numpy.std"
"subtract","numpy.subtract"
"sum","numpy.sum"
"svd","numpy.linalg.svd"
"swapaxes","numpy.swapaxes"
"take","numpy.take"
"take_along_axis","numpy.take_along_axis"
"tan","numpy.tan"
"tanh","numpy.tanh"
"tensordot","numpy.tensordot"
"tensorinv","numpy.linalg.tensorinv"
"tensorsolve","numpy.linalg.tensorsolve"
"tile","numpy.tile"
"trace","numpy.trace"
"transpose","numpy.transpose"
"trapz","numpy.trapz"
"tri","numpy.tri"
"tril","numpy.tril"
"tril_indices","numpy.tril_indices"
"tril_indices_from","numpy.tril_indices_from"
"trim_zeros","numpy.trim_zeros"
"triu","numpy.triu"
"triu_indices","numpy.triu_indices"
"triu_indices_from","numpy.triu_indices_from"
"true_divide","numpy.true_divide"
"trunc","numpy.trunc"
"uint16",""
"uint32",""
"uint64",""
"uint8",""
"union1d","numpy.union1d"
"unique","numpy.unique"
"unpackbits","numpy.unpackbits"
"unravel_index","numpy.unravel_index"
"unsignedinteger",""
"unwrap","numpy.unwrap"
"vander","numpy.vander"
"var","numpy.var"
"vdot","numpy.vdot"
"vectorize",""
"vsplit","numpy.vsplit"
"vstack","numpy.vstack"
"where","numpy.where"
"zeros","numpy.zeros"
"zeros_like","numpy.zeros_like"
