name,numpy
"log2","numpy.log2"
"log1p","numpy.log1p"
"exp2","numpy.exp2"
"logaddexp","numpy.logaddexp"
"logaddexp2","numpy.logaddexp2"
"i0","numpy.i0"
"sinc","numpy.sinc"
"ldexp","numpy.ldexp"
"signbit","numpy.signbit"
"copysign","numpy.copysign"
"frexp","numpy.frexp"
"nextafter","numpy.nextafter"
"spacing","numpy.spacing"
"lcm","numpy.lcm"
"gcd","numpy.gcd"
"add","numpy.add"
"reciprocal","numpy.reciprocal"
"negative","numpy.negative"
"divide","numpy.divide"
"power","numpy.power"
"subtract","numpy.subtract"
"mod","numpy.mod"
"multiply","numpy.multiply"
"true_divide","numpy.true_divide"
"remainder","numpy.remainder"
"positive","numpy.positive"
"floor_divide","numpy.floor_divide"
"float_power","numpy.float_power"
"fmod","numpy.fmod"
"modf","numpy.modf"
"divmod","numpy.divmod"
"angle","numpy.angle"
"real","numpy.real"
"imag","numpy.imag"
"conj","numpy.conj"
"conjugate","numpy.conjugate"
"clip","numpy.clip"
"sqrt","numpy.sqrt"
"cbrt","numpy.cbrt"
"square","numpy.square"
"absolute","numpy.absolute"
"sign","numpy.sign"
"maximum","numpy.maximum"
"minimum","numpy.minimum"
"convolve","numpy.convolve"
"fabs","numpy.fabs"
"heaviside","numpy.heaviside"
"fmax","numpy.fmax"
"fmin","numpy.fmin"
"nan_to_num","numpy.nan_to_num"
"real_if_close","numpy.real_if_close"
"interp","numpy.interp"
"random.bit_generator","numpy.bit_generator"
"random.choice","numpy.random.choice"
"random.random","numpy.random"
"random.integers","numpy.random.integers"
"random.bytes","numpy.random.bytes"
"random.shuffle","numpy.random.shuffle"
"random.permutation","numpy.random.permutation"
"random.normal","numpy.random.normal"
"random.uniform","numpy.random.uniform"
"random.rand","numpy.random.rand"
"random.randint","numpy.random.randint"
"random.beta","numpy.random.beta",
"random.binomial","numpy.random.binomial"
"random.chisquare","numpy.random.chisquare"
"random.dirichlet","numpy.random.dirichlet"
"random.exponential","numpy.random.exponential"
"random.f","numpy.random.f"
"random.gamma","numpy.random.gamma"
"random.geometric","numpy.random.geometric"
"random.gumbel","numpy.random.gumbel"
"random.hypergeometric","numpy.random.hypergeometric"
"random.laplace","numpy.random.laplace"
"random.logistic","numpy.random.logistic"
"random.lognormal","numpy.random.lognormal"
"random.logseries","numpy.random.logseries"
"random.multinomial","numpy.random.multinomial"
"random.multivariate_normal","numpy.random.multivariate_normal"
"random.negative_binomial","numpy.random.negative_binomial"
"random.noncentral_chisquare","numpy.random.noncentral_chisquare"
"random.noncentral_f","numpy.random.noncentral_f"
"random.pareto","numpy.random.pareto"
"random.poisson","numpy.random.poisson"
"random.power","numpy.random.power"
"random.rayleigh","numpy.random.rayleigh"
"random.standard_cauchy","numpy.random.standard_cauchy"
"random.standard_exponential","numpy.random.standard_exponential"
"random.standard_gamma","numpy.random.standard_gamma"
"random.stanard_normal","numpy.random.stanard_normal"
"random.standard_t","numpy.random.standard_t"
"random.triangular","numpy.random.triangular"
"random.vonmises","numpy.random.vonmises"
"random.wald","numpy.random.wald"
"random.weibull","numpy.random.weibull"
"random.zipf","numpy.random.zipf"
"ndarray.sort","numpy.ndarray.sort"
"sort","numpy.sort"
"lexsort","numpy.lexsort"
"argsort","numpy.argsort"
"msort","numpy.msort"
"sort_complex","numpy.sort_complex"
"partition","numpy.partition"
"argpartition","numpy.argpartition"
"argmax","numpy.argmax"
"argmin","numpy.argmin"
"nanargmax","numpy.nanargmax"
"nanargmin","numpy.nanargmin"
"argwhere","numpy.argwhere"
"nonzero","numpy.nonzero"
"flatnonzero","numpy.flatnonzero"
"where","numpy.where"
"searchsorted","numpy.searchsorted"
"extract","numpy.extract"
"count_nonzero","numpy.count_nonzero"
"min","numpy.amin"
"max","numpy.amax"
"amin","numpy.amin"
"amax","numpy.amax"
"nanmin","numpy.nanmin"
"nanmax","numpy.nanmax"
"ptp","numpy.ptp"
"percentile","numpy.percentile"
"nanpercentile","numpy.nanpercentile"
"quantile","numpy.quantile"
"nanquantile","numpy.nanquantile"
"mean","numpy.mean"
"std","numpy.std"
"var","numpy.var"
"median","numpy.median"
"average","numpy.average"
"nanmedian","numpy.nanmedian"
"nanmean","numpy.nanmean"
"nanstd","numpy.nanstd"
"nanvar","numpy.nanvar"
"corrcoef","numpy.corrcoef"
"correlate","numpy.correlate"
"cov","numpy.cov"
"histogram","numpy.histogram"
"histogram2d","numpy.histogram2d"
"histogramdd","numpy.histogramdd"
"bincount","numpy.bincount"
"histogram_bin_edges","numpy.histogram_bin_edges"
"digitize","numpy.digitize"
"set_np",""
"reset_np",""
"is_np_array",""
"use_np_array",""
"is_np_shape",""
"use_np_shape",""
"np_array",""
"np_shape",""
"cpu",""
"cpu_pinned",""
"gpu",""
"gpu_memory_info",""
"current_context",""
"num_gpus",""
"activation",""
"batch_norm",""
"convolution",""
"dropout",""
"embedding",""
"fully_connected",""
"layer_norm",""
"pooling",""
"rnn",""
"leaky_relu",""
"multibox_detection",""
"multibox_prior",""
"multibox_target",""
"roi_pooling",""
"sigmoid",""
"smooth_l1",""
"softmax",""
"threading",""
"topk",""
"waitall",""
"load",""
"save",""
"one_hot",""
"pick",""
"reshape_like",""
"batch_flatten",""
"batch_dot",""
"gamma",""
"sequence_mask",""
"seed",""
