name,numpy
"add","numpy.add"
"all","numpy.all"
"allclose","numpy.allclose"
"angle","numpy.angle"
"any","numpy.any"
"append","numpy.append"
"apply_along_axis","numpy.apply_along_axis"
"apply_gufunc",""
"apply_over_axes","numpy.apply_over_axes"
"arange","numpy.arange"
"arccos","numpy.arccos"
"arccosh","numpy.arccosh"
"arcsin","numpy.arcsin"
"arcsinh","numpy.arcsinh"
"arctan","numpy.arctan"
"arctan2","numpy.arctan2"
"arctanh","numpy.arctanh"
"argmax","numpy.argmax"
"argmin","numpy.argmin"
"argtopk",""
"argwhere","numpy.argwhere"
"around","numpy.around"
"array","numpy.array"
"as_gufunc",""
"asanyarray","numpy.asanyarray"
"asarray","numpy.asarray"
"atleast_1d","numpy.atleast_1d"
"atleast_2d","numpy.atleast_2d"
"atleast_3d","numpy.atleast_3d"
"average","numpy.average"
"bincount","numpy.bincount"
"bitwise_and","numpy.bitwise_and"
"bitwise_not",""
"bitwise_or","numpy.bitwise_or"
"bitwise_xor","numpy.bitwise_xor"
"block","numpy.block"
"blockwise",""
"broadcast_arrays","numpy.broadcast_arrays"
"broadcast_to","numpy.broadcast_to"
"cbrt","numpy.cbrt"
"ceil","numpy.ceil"
"choose","numpy.choose"
"clip","numpy.clip"
"coarsen",""
"compress","numpy.compress"
"concatenate","numpy.concatenate"
"conj","numpy.conj"
"copysign","numpy.copysign"
"corrcoef","numpy.corrcoef"
"cos","numpy.cos"
"cosh","numpy.cosh"
"count_nonzero","numpy.count_nonzero"
"cov","numpy.cov"
"cumprod","numpy.cumprod"
"cumsum","numpy.cumsum"
"deg2rad","numpy.deg2rad"
"degrees","numpy.degrees"
"diag","numpy.diag"
"diagonal","numpy.diagonal"
"diff","numpy.diff"
"digitize","numpy.digitize"
"dot","numpy.dot"
"dstack","numpy.dstack"
"ediff1d","numpy.ediff1d"
"einsum","numpy.einsum"
"empty","numpy.empty"
"empty_like","numpy.empty_like"
"equal","numpy.equal"
"exp","numpy.exp"
"exp2","numpy.exp2"
"expm1","numpy.expm1"
"eye","numpy.eye"
"fabs","numpy.fabs"
"fft.fft","numpy.fft.fft"
"fft.fft2","numpy.fft.fft2"
"fft.fft_wrap",""
"fft.fftfreq","numpy.fft.fftfreq"
"fft.fftn","numpy.fft.fftn"
"fft.fftshift","numpy.fft.fftshift"
"fft.hfft","numpy.fft.hfft"
"fft.ifft","numpy.fft.ifft"
"fft.ifft2","numpy.fft.ifft2"
"fft.ifftn","numpy.fft.ifftn"
"fft.ifftshift","numpy.fft.ifftshift"
"fft.ihfft","numpy.fft.ihfft"
"fft.irfft","numpy.fft.irfft"
"fft.irfft2","numpy.fft.irfft2"
"fft.irfftn","numpy.fft.irfftn"
"fft.rfft","numpy.fft.rfft"
"fft.rfft2","numpy.fft.rfft2"
"fft.rfftfreq","numpy.fft.rfftfreq"
"fft.rfftn","numpy.fft.rfftn"
"fix","numpy.fix"
"flatnonzero","numpy.flatnonzero"
"flip","numpy.flip"
"fliplr","numpy.fliplr"
"flipud","numpy.flipud"
"float_power","numpy.float_power"
"floor","numpy.floor"
"floor_divide","numpy.floor_divide"
"fmax","numpy.fmax"
"fmin","numpy.fmin"
"fmod","numpy.fmod"
"frexp","numpy.frexp"
"from_array",""
"from_delayed",""
"from_npy_stack",""
"from_tiledb",""
"from_zarr",""
"fromfunction","numpy.fromfunction"
"frompyfunc","numpy.frompyfunc"
"full","numpy.full"
"full_like","numpy.full_like"
"gradient","numpy.gradient"
"greater","numpy.greater"
"greater_equal","numpy.greater_equal"
"gufunc",""
"histogram","numpy.histogram"
"histogramdd","numpy.histogramdd"
"hstack","numpy.hstack"
"hypot","numpy.hypot"
"imag","numpy.imag"
"image.imread",""
"indices","numpy.indices"
"insert","numpy.insert"
"invert","numpy.invert"
"isclose","numpy.isclose"
"iscomplex","numpy.iscomplex"
"isfinite","numpy.isfinite"
"isin","numpy.isin"
"isinf","numpy.isinf"
"isnan","numpy.isnan"
"isneginf","numpy.isneginf"
"isnull",""
"isposinf","numpy.isposinf"
"isreal","numpy.isreal"
"ldexp","numpy.ldexp"
"less","numpy.less"
"linalg.cholesky","numpy.linalg.cholesky"
"linalg.inv","numpy.linalg.inv"
"linalg.lstsq","numpy.linalg.lstsq"
"linalg.lu",""
"linalg.norm","numpy.linalg.norm"
"linalg.qr","numpy.linalg.qr"
"linalg.sfqr",""
"linalg.solve","numpy.linalg.solve"
"linalg.solve_triangular",""
"linalg.svd","numpy.linalg.svd"
"linalg.svd_compressed",""
"linalg.tsqr",""
"linspace","numpy.linspace"
"log","numpy.log"
"log10","numpy.log10"
"log1p","numpy.log1p"
"log2","numpy.log2"
"logaddexp","numpy.logaddexp"
"logaddexp2","numpy.logaddexp2"
"logical_and","numpy.logical_and"
"logical_not","numpy.logical_not"
"logical_or","numpy.logical_or"
"logical_xor","numpy.logical_xor"
"ma.average","numpy.ma.average"
"ma.filled","numpy.ma.filled"
"ma.fix_invalid","numpy.ma.fix_invalid"
"ma.getdata","numpy.ma.getdata"
"ma.getmaskarray","numpy.ma.getmaskarray"
"ma.masked_array",""
